"censusdate","abundance","scientificname"
1980-02-24,9,"Dipodomys spectabilis"
1980-02-24,1,"Neotoma albigula"
1980-02-24,8,"Onychomys leucogaster"
1980-02-24,1,"Onychomys torridus"
1980-02-24,0,"Chaetodipus baileyi"
1980-02-24,1,"Peromyscus eremicus"
1980-02-24,2,"Perognathus flavus"
1980-02-24,0,"Chaetodipus hispidus"
1980-02-24,0,"Chaetodipus intermedius"
1980-02-24,0,"Peromyscus leucopus"
1980-02-24,0,"Peromyscus maniculatus"
1980-02-24,0,"Chaetodipus penicillatus"
1980-02-24,0,"Reithrodontomys fulvescens"
1980-02-24,4,"Reithrodontomys megalotis"
1980-02-24,0,"Reithrodontomys montanus"
1980-02-24,0,"Sigmodon fulviventer"
1980-02-24,0,"Sigmodon hispidus"
1980-02-24,0,"Sigmodon ochrognathus"
1980-03-21,0,"Baiomys taylori"
1980-03-21,18,"Dipodomys merriami"
1980-03-21,1,"Dipodomys ordii"
1980-03-21,21,"Dipodomys spectabilis"
1980-03-21,1,"Neotoma albigula"
1980-03-21,5,"Onychomys leucogaster"
1980-03-21,2,"Onychomys torridus"
1980-03-21,0,"Chaetodipus baileyi"
1980-03-21,0,"Peromyscus eremicus"
1980-03-21,5,"Perognathus flavus"
1980-03-21,0,"Chaetodipus hispidus"
1980-03-21,0,"Chaetodipus intermedius"
1980-03-21,0,"Peromyscus leucopus"
1980-03-21,0,"Peromyscus maniculatus"
1980-03-21,0,"Chaetodipus penicillatus"
1980-03-21,0,"Reithrodontomys fulvescens"
1980-03-21,2,"Reithrodontomys megalotis"
1980-03-21,0,"Reithrodontomys montanus"
1980-03-21,0,"Sigmodon fulviventer"
1980-03-21,0,"Sigmodon hispidus"
1980-03-21,0,"Sigmodon ochrognathus"
1980-04-17,0,"Baiomys taylori"
1980-04-17,17,"Dipodomys merriami"
1980-04-17,2,"Dipodomys ordii"
1980-04-17,25,"Dipodomys spectabilis"
1980-04-17,1,"Neotoma albigula"
1980-04-17,5,"Onychomys leucogaster"
1980-04-17,1,"Onychomys torridus"
1980-04-17,0,"Chaetodipus baileyi"
1980-04-17,0,"Peromyscus eremicus"
1980-04-17,6,"Perognathus flavus"
1980-04-17,0,"Chaetodipus hispidus"
1980-04-17,0,"Chaetodipus intermedius"
1980-04-17,0,"Peromyscus leucopus"
1980-04-17,0,"Peromyscus maniculatus"
1980-04-17,1,"Chaetodipus penicillatus"
1980-04-17,0,"Reithrodontomys fulvescens"
1980-04-17,0,"Reithrodontomys megalotis"
1980-04-17,0,"Reithrodontomys montanus"
1980-04-17,0,"Sigmodon fulviventer"
1980-04-17,0,"Sigmodon hispidus"
1980-04-17,0,"Sigmodon ochrognathus"
1980-05-17,0,"Baiomys taylori"
1980-05-17,15,"Dipodomys merriami"
1980-05-17,3,"Dipodomys ordii"
1980-05-17,34,"Dipodomys spectabilis"
1980-05-17,8,"Neotoma albigula"
1980-05-17,3,"Onychomys leucogaster"
1980-05-17,1,"Onychomys torridus"
1980-05-17,0,"Chaetodipus baileyi"
1980-05-17,0,"Peromyscus eremicus"
1980-05-17,2,"Perognathus flavus"
1980-05-17,0,"Chaetodipus hispidus"
1980-05-17,0,"Chaetodipus intermedius"
1980-05-17,0,"Peromyscus leucopus"
1980-05-17,0,"Peromyscus maniculatus"
1980-05-17,2,"Chaetodipus penicillatus"
1980-05-17,0,"Reithrodontomys fulvescens"
1980-05-17,0,"Reithrodontomys megalotis"
1980-05-17,0,"Reithrodontomys montanus"
1980-05-17,0,"Sigmodon fulviventer"
1980-05-17,0,"Sigmodon hispidus"
1980-05-17,0,"Sigmodon ochrognathus"
1980-06-22,0,"Baiomys taylori"
1980-06-22,18,"Dipodomys merriami"
1980-06-22,6,"Dipodomys ordii"
1980-06-22,30,"Dipodomys spectabilis"
1980-06-22,2,"Neotoma albigula"
1980-06-22,1,"Onychomys leucogaster"
1980-06-22,2,"Onychomys torridus"
1980-06-22,0,"Chaetodipus baileyi"
1980-06-22,0,"Peromyscus eremicus"
1980-06-22,3,"Perognathus flavus"
1980-06-22,0,"Chaetodipus hispidus"
1980-06-22,0,"Chaetodipus intermedius"
1980-06-22,0,"Peromyscus leucopus"
1980-06-22,0,"Peromyscus maniculatus"
1980-06-22,2,"Chaetodipus penicillatus"
1980-06-22,0,"Reithrodontomys fulvescens"
1980-06-22,0,"Reithrodontomys megalotis"
1980-06-22,0,"Reithrodontomys montanus"
1980-06-22,0,"Sigmodon fulviventer"
1980-06-22,0,"Sigmodon hispidus"
1980-06-22,0,"Sigmodon ochrognathus"
1980-07-21,0,"Baiomys taylori"
1980-07-21,12,"Dipodomys merriami"
1980-07-21,6,"Dipodomys ordii"
1980-07-21,16,"Dipodomys spectabilis"
1980-07-21,2,"Neotoma albigula"
1980-07-21,1,"Onychomys leucogaster"
1980-07-21,1,"Onychomys torridus"
1980-07-21,0,"Chaetodipus baileyi"
1980-07-21,0,"Peromyscus eremicus"
1980-07-21,2,"Perognathus flavus"
1980-07-21,0,"Chaetodipus hispidus"
1980-07-21,0,"Chaetodipus intermedius"
1980-07-21,0,"Peromyscus leucopus"
1980-07-21,0,"Peromyscus maniculatus"
1980-07-21,1,"Chaetodipus penicillatus"
1980-07-21,0,"Reithrodontomys fulvescens"
1980-07-21,0,"Reithrodontomys megalotis"
1980-07-21,0,"Reithrodontomys montanus"
1980-07-21,0,"Sigmodon fulviventer"
1980-07-21,0,"Sigmodon hispidus"
1980-07-21,0,"Sigmodon ochrognathus"
1980-08-13,0,"Baiomys taylori"
1980-08-13,12,"Dipodomys merriami"
1980-08-13,4,"Dipodomys ordii"
1980-08-13,17,"Dipodomys spectabilis"
1980-08-13,2,"Neotoma albigula"
1980-08-13,2,"Onychomys leucogaster"
1980-08-13,2,"Onychomys torridus"
1980-08-13,0,"Chaetodipus baileyi"
1980-08-13,0,"Peromyscus eremicus"
1980-08-13,2,"Perognathus flavus"
1980-08-13,0,"Chaetodipus hispidus"
1980-08-13,0,"Chaetodipus intermedius"
1980-08-13,0,"Peromyscus leucopus"
1980-08-13,0,"Peromyscus maniculatus"
1980-08-13,2,"Chaetodipus penicillatus"
1980-08-13,0,"Reithrodontomys fulvescens"
1980-08-13,0,"Reithrodontomys megalotis"
1980-08-13,0,"Reithrodontomys montanus"
1980-08-13,0,"Sigmodon fulviventer"
1980-08-13,0,"Sigmodon hispidus"
1980-08-13,0,"Sigmodon ochrognathus"
1980-09-07,0,"Baiomys taylori"
1980-09-07,16,"Dipodomys merriami"
1980-09-07,1,"Dipodomys ordii"
1980-09-07,21,"Dipodomys spectabilis"
1980-09-07,3,"Neotoma albigula"
1980-09-07,1,"Onychomys leucogaster"
1980-09-07,6,"Onychomys torridus"
1980-09-07,0,"Chaetodipus baileyi"
1980-09-07,0,"Peromyscus eremicus"
1980-09-07,3,"Perognathus flavus"
1980-09-07,0,"Chaetodipus hispidus"
1980-09-07,0,"Chaetodipus intermedius"
1980-09-07,0,"Peromyscus leucopus"
1980-09-07,0,"Peromyscus maniculatus"
1980-09-07,5,"Chaetodipus penicillatus"
1980-09-07,0,"Reithrodontomys fulvescens"
1980-09-07,0,"Reithrodontomys megalotis"
1980-09-07,0,"Reithrodontomys montanus"
1980-09-07,0,"Sigmodon fulviventer"
1980-09-07,0,"Sigmodon hispidus"
1980-09-07,0,"Sigmodon ochrognathus"
1980-10-11,0,"Baiomys taylori"
1980-10-11,15,"Dipodomys merriami"
1980-10-11,1,"Dipodomys ordii"
1980-10-11,18,"Dipodomys spectabilis"
1980-10-11,3,"Neotoma albigula"
1980-10-11,7,"Onychomys leucogaster"
1980-10-11,5,"Onychomys torridus"
1980-10-11,0,"Chaetodipus baileyi"
1980-10-11,1,"Peromyscus eremicus"
1980-10-11,4,"Perognathus flavus"
1980-10-11,0,"Chaetodipus hispidus"
1980-10-11,0,"Chaetodipus intermedius"
1980-10-11,0,"Peromyscus leucopus"
1980-10-11,0,"Peromyscus maniculatus"
1980-10-11,1,"Chaetodipus penicillatus"
1980-10-11,0,"Reithrodontomys fulvescens"
1980-10-11,0,"Reithrodontomys megalotis"
1980-10-11,0,"Reithrodontomys montanus"
1980-10-11,0,"Sigmodon fulviventer"
1980-10-11,0,"Sigmodon hispidus"
1980-10-11,0,"Sigmodon ochrognathus"
1980-11-08,0,"Baiomys taylori"
1980-11-08,18,"Dipodomys merriami"
1980-11-08,4,"Dipodomys ordii"
1980-11-08,22,"Dipodomys spectabilis"
1980-11-08,4,"Neotoma albigula"
1980-11-08,9,"Onychomys leucogaster"
1980-11-08,3,"Onychomys torridus"
1980-11-08,0,"Chaetodipus baileyi"
1980-11-08,0,"Peromyscus eremicus"
1980-11-08,4,"Perognathus flavus"
1980-11-08,0,"Chaetodipus hispidus"
1980-11-08,0,"Chaetodipus intermedius"
1980-11-08,0,"Peromyscus leucopus"
1980-11-08,0,"Peromyscus maniculatus"
1980-11-08,0,"Chaetodipus penicillatus"
1980-11-08,0,"Reithrodontomys fulvescens"
1980-11-08,0,"Reithrodontomys megalotis"
1980-11-08,0,"Reithrodontomys montanus"
1980-11-08,0,"Sigmodon fulviventer"
1980-11-08,0,"Sigmodon hispidus"
1980-11-08,0,"Sigmodon ochrognathus"
1980-12-15,0,"Baiomys taylori"
1980-12-15,28,"Dipodomys merriami"
1980-12-15,7,"Dipodomys ordii"
1980-12-15,21,"Dipodomys spectabilis"
1980-12-15,5,"Neotoma albigula"
1980-12-15,3,"Onychomys leucogaster"
1980-12-15,7,"Onychomys torridus"
1980-12-15,0,"Chaetodipus baileyi"
1980-12-15,1,"Peromyscus eremicus"
1980-12-15,4,"Perognathus flavus"
1980-12-15,0,"Chaetodipus hispidus"
1980-12-15,0,"Chaetodipus intermedius"
1980-12-15,0,"Peromyscus leucopus"
1980-12-15,0,"Peromyscus maniculatus"
1980-12-15,0,"Chaetodipus penicillatus"
1980-12-15,0,"Reithrodontomys fulvescens"
1980-12-15,0,"Reithrodontomys megalotis"
1980-12-15,0,"Reithrodontomys montanus"
1980-12-15,0,"Sigmodon fulviventer"
1980-12-15,0,"Sigmodon hispidus"
1980-12-15,0,"Sigmodon ochrognathus"
1981-01-31,0,"Baiomys taylori"
1981-01-31,24,"Dipodomys merriami"
1981-01-31,13,"Dipodomys ordii"
1981-01-31,24,"Dipodomys spectabilis"
1981-01-31,4,"Neotoma albigula"
1981-01-31,6,"Onychomys leucogaster"
1981-01-31,0,"Onychomys torridus"
1981-01-31,0,"Chaetodipus baileyi"
1981-01-31,2,"Peromyscus eremicus"
1981-01-31,3,"Perognathus flavus"
1981-01-31,0,"Chaetodipus hispidus"
1981-01-31,0,"Chaetodipus intermedius"
1981-01-31,0,"Peromyscus leucopus"
1981-01-31,0,"Peromyscus maniculatus"
1981-01-31,1,"Chaetodipus penicillatus"
1981-01-31,0,"Reithrodontomys fulvescens"
1981-01-31,1,"Reithrodontomys megalotis"
1981-01-31,0,"Reithrodontomys montanus"
1981-01-31,0,"Sigmodon fulviventer"
1981-01-31,0,"Sigmodon hispidus"
1981-01-31,0,"Sigmodon ochrognathus"
1981-03-08,0,"Baiomys taylori"
1981-03-08,21,"Dipodomys merriami"
1981-03-08,3,"Dipodomys ordii"
1981-03-08,26,"Dipodomys spectabilis"
1981-03-08,2,"Neotoma albigula"
1981-03-08,2,"Onychomys leucogaster"
1981-03-08,8,"Onychomys torridus"
1981-03-08,0,"Chaetodipus baileyi"
1981-03-08,0,"Peromyscus eremicus"
1981-03-08,2,"Perognathus flavus"
1981-03-08,0,"Chaetodipus hispidus"
1981-03-08,0,"Chaetodipus intermedius"
1981-03-08,0,"Peromyscus leucopus"
1981-03-08,0,"Peromyscus maniculatus"
1981-03-08,0,"Chaetodipus penicillatus"
1981-03-08,0,"Reithrodontomys fulvescens"
1981-03-08,0,"Reithrodontomys megalotis"
1981-03-08,0,"Reithrodontomys montanus"
1981-03-08,0,"Sigmodon fulviventer"
1981-03-08,0,"Sigmodon hispidus"
1981-03-08,0,"Sigmodon ochrognathus"
1981-05-03,0,"Baiomys taylori"
1981-05-03,25,"Dipodomys merriami"
1981-05-03,8,"Dipodomys ordii"
1981-05-03,30,"Dipodomys spectabilis"
1981-05-03,1,"Neotoma albigula"
1981-05-03,0,"Onychomys leucogaster"
1981-05-03,2,"Onychomys torridus"
1981-05-03,0,"Chaetodipus baileyi"
1981-05-03,1,"Peromyscus eremicus"
1981-05-03,2,"Perognathus flavus"
1981-05-03,0,"Chaetodipus hispidus"
1981-05-03,0,"Chaetodipus intermedius"
1981-05-03,0,"Peromyscus leucopus"
1981-05-03,0,"Peromyscus maniculatus"
1981-05-03,1,"Chaetodipus penicillatus"
1981-05-03,0,"Reithrodontomys fulvescens"
1981-05-03,0,"Reithrodontomys megalotis"
1981-05-03,0,"Reithrodontomys montanus"
1981-05-03,0,"Sigmodon fulviventer"
1981-05-03,0,"Sigmodon hispidus"
1981-05-03,0,"Sigmodon ochrognathus"
1981-06-04,0,"Baiomys taylori"
1981-06-04,24,"Dipodomys merriami"
1981-06-04,9,"Dipodomys ordii"
1981-06-04,33,"Dipodomys spectabilis"
1981-06-04,5,"Neotoma albigula"
1981-06-04,1,"Onychomys leucogaster"
1981-06-04,3,"Onychomys torridus"
1981-06-04,0,"Chaetodipus baileyi"
1981-06-04,1,"Peromyscus eremicus"
1981-06-04,3,"Perognathus flavus"
1981-06-04,0,"Chaetodipus hispidus"
1981-06-04,0,"Chaetodipus intermedius"
1981-06-04,0,"Peromyscus leucopus"
1981-06-04,0,"Peromyscus maniculatus"
1981-06-04,4,"Chaetodipus penicillatus"
1981-06-04,0,"Reithrodontomys fulvescens"
1981-06-04,0,"Reithrodontomys megalotis"
1981-06-04,0,"Reithrodontomys montanus"
1981-06-04,0,"Sigmodon fulviventer"
1981-06-04,0,"Sigmodon hispidus"
1981-06-04,0,"Sigmodon ochrognathus"
1981-07-07,0,"Baiomys taylori"
1981-07-07,26,"Dipodomys merriami"
1981-07-07,6,"Dipodomys ordii"
1981-07-07,24,"Dipodomys spectabilis"
1981-07-07,4,"Neotoma albigula"
1981-07-07,0,"Onychomys leucogaster"
1981-07-07,0,"Onychomys torridus"
1981-07-07,0,"Chaetodipus baileyi"
1981-07-07,0,"Peromyscus eremicus"
1981-07-07,4,"Perognathus flavus"
1981-07-07,0,"Chaetodipus hispidus"
1981-07-07,0,"Chaetodipus intermedius"
1981-07-07,0,"Peromyscus leucopus"
1981-07-07,0,"Peromyscus maniculatus"
1981-07-07,2,"Chaetodipus penicillatus"
1981-07-07,0,"Reithrodontomys fulvescens"
1981-07-07,0,"Reithrodontomys megalotis"
1981-07-07,0,"Reithrodontomys montanus"
1981-07-07,0,"Sigmodon fulviventer"
1981-07-07,0,"Sigmodon hispidus"
1981-07-07,0,"Sigmodon ochrognathus"
1981-07-30,0,"Baiomys taylori"
1981-07-30,19,"Dipodomys merriami"
1981-07-30,3,"Dipodomys ordii"
1981-07-30,13,"Dipodomys spectabilis"
1981-07-30,1,"Neotoma albigula"
1981-07-30,1,"Onychomys leucogaster"
1981-07-30,4,"Onychomys torridus"
1981-07-30,0,"Chaetodipus baileyi"
1981-07-30,0,"Peromyscus eremicus"
1981-07-30,1,"Perognathus flavus"
1981-07-30,0,"Chaetodipus hispidus"
1981-07-30,0,"Chaetodipus intermedius"
1981-07-30,0,"Peromyscus leucopus"
1981-07-30,0,"Peromyscus maniculatus"
1981-07-30,5,"Chaetodipus penicillatus"
1981-07-30,0,"Reithrodontomys fulvescens"
1981-07-30,0,"Reithrodontomys megalotis"
1981-07-30,0,"Reithrodontomys montanus"
1981-07-30,0,"Sigmodon fulviventer"
1981-07-30,0,"Sigmodon hispidus"
1981-07-30,0,"Sigmodon ochrognathus"
1981-08-30,0,"Baiomys taylori"
1981-08-30,17,"Dipodomys merriami"
1981-08-30,4,"Dipodomys ordii"
1981-08-30,11,"Dipodomys spectabilis"
1981-08-30,3,"Neotoma albigula"
1981-08-30,0,"Onychomys leucogaster"
1981-08-30,0,"Onychomys torridus"
1981-08-30,0,"Chaetodipus baileyi"
1981-08-30,0,"Peromyscus eremicus"
1981-08-30,0,"Perognathus flavus"
1981-08-30,0,"Chaetodipus hispidus"
1981-08-30,0,"Chaetodipus intermedius"
1981-08-30,0,"Peromyscus leucopus"
1981-08-30,0,"Peromyscus maniculatus"
1981-08-30,1,"Chaetodipus penicillatus"
1981-08-30,0,"Reithrodontomys fulvescens"
1981-08-30,0,"Reithrodontomys megalotis"
1981-08-30,0,"Reithrodontomys montanus"
1981-08-30,0,"Sigmodon fulviventer"
1981-08-30,0,"Sigmodon hispidus"
1981-08-30,0,"Sigmodon ochrognathus"
1981-09-29,0,"Baiomys taylori"
1981-09-29,16,"Dipodomys merriami"
1981-09-29,1,"Dipodomys ordii"
1981-09-29,12,"Dipodomys spectabilis"
1981-09-29,3,"Neotoma albigula"
1981-09-29,1,"Onychomys leucogaster"
1981-09-29,4,"Onychomys torridus"
1981-09-29,0,"Chaetodipus baileyi"
1981-09-29,3,"Peromyscus eremicus"
1981-09-29,0,"Perognathus flavus"
1981-09-29,0,"Chaetodipus hispidus"
1981-09-29,0,"Chaetodipus intermedius"
1981-09-29,0,"Peromyscus leucopus"
1981-09-29,0,"Peromyscus maniculatus"
1981-09-29,0,"Chaetodipus penicillatus"
1981-09-29,0,"Reithrodontomys fulvescens"
1981-09-29,1,"Reithrodontomys megalotis"
1981-09-29,0,"Reithrodontomys montanus"
1981-09-29,0,"Sigmodon fulviventer"
1981-09-29,0,"Sigmodon hispidus"
1981-09-29,0,"Sigmodon ochrognathus"
1981-10-24,0,"Baiomys taylori"
1981-10-24,28,"Dipodomys merriami"
1981-10-24,3,"Dipodomys ordii"
1981-10-24,11,"Dipodomys spectabilis"
1981-10-24,5,"Neotoma albigula"
1981-10-24,8,"Onychomys leucogaster"
1981-10-24,7,"Onychomys torridus"
1981-10-24,0,"Chaetodipus baileyi"
1981-10-24,2,"Peromyscus eremicus"
1981-10-24,3,"Perognathus flavus"
1981-10-24,0,"Chaetodipus hispidus"
1981-10-24,0,"Chaetodipus intermedius"
1981-10-24,0,"Peromyscus leucopus"
1981-10-24,0,"Peromyscus maniculatus"
1981-10-24,2,"Chaetodipus penicillatus"
1981-10-24,0,"Reithrodontomys fulvescens"
1981-10-24,0,"Reithrodontomys megalotis"
1981-10-24,0,"Reithrodontomys montanus"
1981-10-24,0,"Sigmodon fulviventer"
1981-10-24,0,"Sigmodon hispidus"
1981-10-24,0,"Sigmodon ochrognathus"
1981-11-22,0,"Baiomys taylori"
1981-11-22,39,"Dipodomys merriami"
1981-11-22,5,"Dipodomys ordii"
1981-11-22,19,"Dipodomys spectabilis"
1981-11-22,7,"Neotoma albigula"
1981-11-22,5,"Onychomys leucogaster"
1981-11-22,4,"Onychomys torridus"
1981-11-22,0,"Chaetodipus baileyi"
1981-11-22,4,"Peromyscus eremicus"
1981-11-22,3,"Perognathus flavus"
1981-11-22,0,"Chaetodipus hispidus"
1981-11-22,0,"Chaetodipus intermedius"
1981-11-22,0,"Peromyscus leucopus"
1981-11-22,1,"Peromyscus maniculatus"
1981-11-22,0,"Chaetodipus penicillatus"
1981-11-22,0,"Reithrodontomys fulvescens"
1981-11-22,1,"Reithrodontomys megalotis"
1981-11-22,0,"Reithrodontomys montanus"
1981-11-22,0,"Sigmodon fulviventer"
1981-11-22,0,"Sigmodon hispidus"
1981-11-22,0,"Sigmodon ochrognathus"
1981-12-30,0,"Baiomys taylori"
1981-12-30,27,"Dipodomys merriami"
1981-12-30,6,"Dipodomys ordii"
1981-12-30,20,"Dipodomys spectabilis"
1981-12-30,5,"Neotoma albigula"
1981-12-30,2,"Onychomys leucogaster"
1981-12-30,2,"Onychomys torridus"
1981-12-30,0,"Chaetodipus baileyi"
1981-12-30,5,"Peromyscus eremicus"
1981-12-30,2,"Perognathus flavus"
1981-12-30,0,"Chaetodipus hispidus"
1981-12-30,0,"Chaetodipus intermedius"
1981-12-30,0,"Peromyscus leucopus"
1981-12-30,0,"Peromyscus maniculatus"
1981-12-30,0,"Chaetodipus penicillatus"
1981-12-30,0,"Reithrodontomys fulvescens"
1981-12-30,6,"Reithrodontomys megalotis"
1981-12-30,0,"Reithrodontomys montanus"
1981-12-30,0,"Sigmodon fulviventer"
1981-12-30,0,"Sigmodon hispidus"
1981-12-30,0,"Sigmodon ochrognathus"
1982-01-24,0,"Baiomys taylori"
1982-01-24,32,"Dipodomys merriami"
1982-01-24,4,"Dipodomys ordii"
1982-01-24,9,"Dipodomys spectabilis"
1982-01-24,5,"Neotoma albigula"
1982-01-24,5,"Onychomys leucogaster"
1982-01-24,4,"Onychomys torridus"
1982-01-24,0,"Chaetodipus baileyi"
1982-01-24,6,"Peromyscus eremicus"
1982-01-24,2,"Perognathus flavus"
1982-01-24,0,"Chaetodipus hispidus"
1982-01-24,0,"Chaetodipus intermedius"
1982-01-24,0,"Peromyscus leucopus"
1982-01-24,0,"Peromyscus maniculatus"
1982-01-24,0,"Chaetodipus penicillatus"
1982-01-24,0,"Reithrodontomys fulvescens"
1982-01-24,5,"Reithrodontomys megalotis"
1982-01-24,0,"Reithrodontomys montanus"
1982-01-24,0,"Sigmodon fulviventer"
1982-01-24,0,"Sigmodon hispidus"
1982-01-24,0,"Sigmodon ochrognathus"
1982-02-22,0,"Baiomys taylori"
1982-02-22,44,"Dipodomys merriami"
1982-02-22,7,"Dipodomys ordii"
1982-02-22,26,"Dipodomys spectabilis"
1982-02-22,5,"Neotoma albigula"
1982-02-22,6,"Onychomys leucogaster"
1982-02-22,3,"Onychomys torridus"
1982-02-22,0,"Chaetodipus baileyi"
1982-02-22,8,"Peromyscus eremicus"
1982-02-22,2,"Perognathus flavus"
1982-02-22,0,"Chaetodipus hispidus"
1982-02-22,0,"Chaetodipus intermedius"
1982-02-22,0,"Peromyscus leucopus"
1982-02-22,0,"Peromyscus maniculatus"
1982-02-22,0,"Chaetodipus penicillatus"
1982-02-22,0,"Reithrodontomys fulvescens"
1982-02-22,19,"Reithrodontomys megalotis"
1982-02-22,0,"Reithrodontomys montanus"
1982-02-22,0,"Sigmodon fulviventer"
1982-02-22,0,"Sigmodon hispidus"
1982-02-22,0,"Sigmodon ochrognathus"
1982-03-29,0,"Baiomys taylori"
1982-03-29,35,"Dipodomys merriami"
1982-03-29,8,"Dipodomys ordii"
1982-03-29,24,"Dipodomys spectabilis"
1982-03-29,5,"Neotoma albigula"
1982-03-29,4,"Onychomys leucogaster"
1982-03-29,5,"Onychomys torridus"
1982-03-29,0,"Chaetodipus baileyi"
1982-03-29,6,"Peromyscus eremicus"
1982-03-29,1,"Perognathus flavus"
1982-03-29,0,"Chaetodipus hispidus"
1982-03-29,0,"Chaetodipus intermedius"
1982-03-29,0,"Peromyscus leucopus"
1982-03-29,2,"Peromyscus maniculatus"
1982-03-29,2,"Chaetodipus penicillatus"
1982-03-29,0,"Reithrodontomys fulvescens"
1982-03-29,10,"Reithrodontomys megalotis"
1982-03-29,0,"Reithrodontomys montanus"
1982-03-29,0,"Sigmodon fulviventer"
1982-03-29,0,"Sigmodon hispidus"
1982-03-29,0,"Sigmodon ochrognathus"
1982-04-28,0,"Baiomys taylori"
1982-04-28,28,"Dipodomys merriami"
1982-04-28,8,"Dipodomys ordii"
1982-04-28,37,"Dipodomys spectabilis"
1982-04-28,2,"Neotoma albigula"
1982-04-28,1,"Onychomys leucogaster"
1982-04-28,1,"Onychomys torridus"
1982-04-28,0,"Chaetodipus baileyi"
1982-04-28,2,"Peromyscus eremicus"
1982-04-28,1,"Perognathus flavus"
1982-04-28,0,"Chaetodipus hispidus"
1982-04-28,0,"Chaetodipus intermedius"
1982-04-28,0,"Peromyscus leucopus"
1982-04-28,2,"Peromyscus maniculatus"
1982-04-28,3,"Chaetodipus penicillatus"
1982-04-28,0,"Reithrodontomys fulvescens"
1982-04-28,3,"Reithrodontomys megalotis"
